name,id,lat,lon,capacity
COP24,5868,50.265282,19.0286349,12
Dolina 3-ch Stawów,5869,50.2332173,19.0278122,12
Katowice Rynek,5867,50.2586968,19.0216184,24
Plac Sejmu Śląskiego,5876,50.2538403,19.0237909,12
Murapol Mariacka,5880,50.2572153,19.0286454,12
Ul. Powstańców - Biblioteka Śląska,5875,50.2516468,19.0311023,12
Park Kościuszki,5873,50.2468121,19.0098855,12
Al. Księcia Henryka Pobożnego,5871,50.2801254,18.9737402,12
Al. Bolesława Krzywoustego,5870,50.2750609,18.9805487,12
Al. Księżnej Jadwigi Śląskiej,5872,50.2841958,18.9678905,12
GPP Business Park,5877,50.283093,19.0272936,12
Silesia Business Park,5879,50.269922,18.9981936,12
Silesia City Center,5878,50.2695754,19.0037077,18
Murapol Chorzowska,5881,50.267405,19.013105,12
Załęże Skwer S. Barei,5895,50.2630759,19.0046196,12
Bogucice Szpital,5885,50.2687742,19.0386906,12
KTBS – Saint Etienne 1,5884,50.2611859,19.0560131,12
KTBS – Krasińskiego 14,5883,50.2551631,19.0371209,12
Politechnika Śląska,5882,50.2554029,19.0322917,12
Galeria 3 Stawy,5897,50.2435531,19.0362906,12
Kokociniec S.P nr 67,5887,50.234985,18.9594876,12
Ligota Medyków,5890,50.2266646,18.9585549,12
Osiedle Franciszkańskie,5896,50.2315646,18.9636766,12
Skwer Bolesława Szabelskiego,5886,50.2254014,18.9700364,12
Ligota Dworzec PKP,5888,50.2261787,18.9752123,12
Ligota Wczasowa,5889,50.2187842,18.968023,12
Zadole Kościół,5891,50.2192865,18.9762528,12
Piotrowice V L.O.,5892,50.2146385,18.9900657,12
Armii Krajowej/Jankego,5893,50.208442,18.9738566,12
Łętowskiego S.P. nr 27,5894,50.2049446,18.9862648,12
Murcki - Rynek Murckowski,5865,50.1983719,19.0427391,12
Giszowiec - Plac Pod Lipami,5864,50.2219261,19.0647268,12
Nikiszowiec Lodowisko Jantor,5863,50.2448959,19.0822254,12
Szopienice - Plac Powstańców Śląskich,5862,50.2624464,19.0950876,12
Osiedle Witosa - Plac Herberta,5866,50.259698,18.9685641,12
Green Park,5898,50.2554938,19.0475732,15
Koszutka – Plac Gwarków,5858,50.2703969,19.0247514,12
Podlesie – Stary Most,5857,50.1743932,18.9707383,12
Kostuchna – Boże Dary,5856,50.183717,18.997722,12
Kostuchna – Szarych Szeregów,5855,50.1936046,18.9907024,12
Kostuchna – Bażantów,5854,50.2005462,18.991386,12
Kostuchna – Rondo Rostworowskiego,5853,50.200024,18.977245,12
Os. Kukuczki – Skwer Koszycki,5851,50.2696,19.04686,12
Os. Witosa – ul. Rataja,5850,50.2625939,18.9716948,12
Os. Ptasie – ul. Drozdów,5849,50.232459,19.00897,12
Os. Ptasie – ul. Gawronów,5848,50.2372626,19.0045303,12
Plac Wolności,5847,50.25969,19.01451,12
Nikiszowiec – Św. Anny,5852,50.241248,19.07865,12
ING Roździeńska,5874,50.26205,19.075126,10
ING Sokolska,5861,50.265272,19.016265,26
PKN Orlen - Al. Roździeńskiego,6390,50.2783792,19.0818201,15
PKN Orlen - Bocheńskiego,6389,50.260639,18.9861609,15
PKN Orlen - Piotrowicka,6388,50.2303445,18.9721039,15
PKN Orlen - Murckowska,6387,50.2544694,19.047372,15
