name,station_id,lat,lon,capacity,flag
Al. Bolesława Krzywoustego,5870,50.2750609,18.9805487,12,
Al. Księcia Henryka Pobożnego,5871,50.2801254,18.9737402,12,
Al. Księżnej Jadwigi Śląskiej,5872,50.2841958,18.9678905,12,
Armii Krajowej/Jankego,5893,50.208442,18.9738566,12,
Bogucice Szpital,5885,50.2687742,19.0386906,12,
NOSPR,5868,50.265282,19.0286349,12,
Dolina 3-ch Stawów,5869,50.2332173,19.0278122,12,
Galeria 3 Stawy,5897,50.2435531,19.0362906,12,stacja partnerska
Giszowiec – Plac Pod Lipami,5864,50.2219261,19.0647268,12,
GPP Business Park,5877,50.283093,19.0272936,12,stacja partnerska
Green Park,5898,50.2554938,19.0475732,15,stacja partnerska
ING Roździeńska,5874,50.26205,19.075126,10,stacja partnerska
ING Sokolska,5861,50.265272,19.016265,26,stacja partnerska
Katowice Rynek,5867,50.2586968,19.0216184,24,
Kokociniec SP nr 67,5887,50.234985,18.9594876,12,
Kostuchna – Bażantów,5854,50.2005462,18.991386,12,
Kostuchna – Boże Dary,5856,50.183717,18.997722,12,
Kostuchna – Rondo Rostworowskiego,5853,50.200024,18.977245,12,
Kostuchna – Szarych Szeregów,5855,50.1936046,18.9907024,12,
Koszutka – Plac Gwarków,5858,50.2703969,19.0247514,12,
KTBS – Krasińskiego,5883,50.2551631,19.0371209,12,stacja partnerska
KTBS – Saint Etienne,5884,50.2611859,19.0560131,12,stacja partnerska
Łętowskiego S.P. nr 27,5894,50.2049446,18.9862648,12,
Ligota Centrum Przesiadkowe,5888,50.22621,18.97576,12,dawniej Ligota Dworzec PKP
Ligota Medyków,5890,50.2266646,18.9585549,12,
Ligota Wczasowa,5889,50.2187842,18.968023,12,
Chorzowska Park Budnioka,5881,50.267405,19.013105,12,
Mariacka Kościół,5880,50.2572153,19.0286454,12,
Murcki – Rynek Murckowski,5865,50.1983719,19.0427391,12,
Nikiszowiec – Szyb Wilson,5852,50.251038,19.083098,12,dawniej Nikiszowiec – Św. Anny
Nikiszowiec Skwer Zillmannów ,5863,50.243777,19.082881,12,dawniej Nikiszowiec Lodowiski Jantor
Os. Kukuczki – Skwer Koszycki,5851,50.2696,19.04686,12,
