,daynumber,dayofweek,mintemp,maxtemp,rain,meantemp,dewp,visib,mxpsd,sndp,fog
0,365,2,32.0,37.6,0.38,33.9,31.7,5.9,12.0,0.0,0
1,364,1,34.3,39.0,0.07,36.6,34.6,4.0,13.0,0.0,0
2,363,7,35.6,40.3,0.05,37.7,36.4,4.0,11.1,0.0,0
3,362,6,37.4,41.4,0.08,38.3,37.0,5.4,12.0,0.0,0
4,361,5,36.7,42.8,0.06,39.1,37.9,4.5,14.0,0.0,1
5,360,4,35.1,38.1,0.14,36.3,34.3,5.5,15.0,0.0,0
6,359,3,28.4,36.3,0.02,32.0,29.8,5.0,12.0,0.4,0
7,358,2,28.4,40.5,0.27,32.7,29.5,5.2,15.9,0.0,0
8,357,1,33.8,40.8,0.35,37.5,35.4,5.2,12.0,0.0,0
9,356,7,35.6,47.1,0.08,41.5,37.3,6.1,19.0,0.0,0
10,355,6,30.4,41.0,0.02,35.2,30.5,4.8,17.5,1.2,0
11,354,5,22.6,33.1,0.0,27.4,23.3,3.6,15.9,1.6,0
12,353,4,21.2,30.2,0.0,24.1,22.0,2.4,14.0,1.6,1
13,352,3,26.6,35.8,0.0,31.1,28.4,1.8,8.9,2.0,1
14,351,2,19.4,32.0,0.0,27.7,23.9,2.6,8.9,2.4,0
15,350,1,19.4,29.5,0.04,27.0,23.0,5.1,8.0,2.4,0
16,349,7,26.6,31.1,0.0,28.5,24.7,5.2,11.7,1.6,0
17,348,6,28.4,31.8,0.0,28.9,26.3,4.8,8.9,1.6,0
18,347,5,28.4,33.1,0.0,30.1,29.0,1.7,5.1,1.6,1
19,346,4,26.6,33.8,0.29,31.5,30.2,3.3,8.0,2.0,0
20,345,3,31.8,35.1,0.17,32.1,31.5,2.4,11.1,1.2,0
21,344,2,32.0,43.2,0.33,36.1,33.0,5.6,19.0,0.0,0
22,343,1,37.9,45.9,0.09,41.1,37.0,6.2,19.4,0.0,0
23,342,7,37.9,46.4,0.11,41.4,34.6,5.8,17.1,0.0,0
24,341,6,33.8,45.9,0.01,39.8,37.1,5.0,17.1,0.0,0
25,340,5,19.4,37.4,0.0,30.2,24.2,4.0,15.9,0.0,0
26,339,4,23.0,39.2,0.05,29.9,27.9,4.3,9.9,0.0,1
27,338,3,32.0,46.4,0.12,41.1,38.9,4.2,15.9,0.0,0
28,337,2,34.0,45.3,0.14,40.6,38.3,5.0,18.1,0.0,0
29,336,1,25.2,38.8,0.0,32.2,28.7,3.9,12.0,0.4,0
30,335,7,10.4,30.7,0.0,23.0,17.8,3.9,12.0,0.0,0
31,334,6,12.2,33.1,0.0,23.1,15.3,5.6,12.0,0.0,0
32,333,5,15.8,28.9,0.0,21.7,15.3,5.147648902821317,15.9,0.0,0
33,332,4,14.0,33.3,0.0,25.2,21.6,3.3,11.1,0.4,0
34,331,3,19.4,35.1,0.0,27.6,21.5,5.2,13.0,0.4,0
35,330,2,28.4,41.5,0.0,35.8,32.3,5.0,15.0,0.0,0
36,329,1,35.6,44.6,0.0,40.8,38.4,3.4,8.0,0.0,0
37,328,7,30.2,44.6,0.02,38.2,35.7,3.3,12.0,0.0,1
38,327,6,32.0,42.8,0.0,35.3,31.8,2.9,8.0,0.0,1
39,320,6,31.3,43.0,0.0,38.5,34.4,6.2,15.0,0.0,0
40,319,5,32.2,48.2,0.02,42.2,38.1,3.9,8.0,0.0,1
41,318,4,41.0,54.7,0.06,45.3,41.8,5.7,13.0,0.0,0
42,317,3,36.7,61.7,0.0,51.2,44.9,4.4,13.0,0.0,0
43,316,2,32.0,61.5,0.0,47.0,41.5,2.3,8.9,0.0,1
44,315,1,32.0,59.9,0.0,48.0,41.0,3.4,12.0,0.0,0
45,314,7,32.0,59.2,0.0,44.2,39.5,1.1,8.0,0.0,1
46,313,6,33.8,57.6,0.0,42.1,40.1,0.9,4.1,0.0,1
47,312,5,33.8,59.5,0.0,44.1,40.2,2.4,13.0,0.0,1
48,311,4,37.0,65.7,0.0,49.6,39.2,4.5,9.9,0.0,0
49,310,3,35.6,67.6,0.0,49.6,39.9,4.5,9.9,0.0,0
50,309,2,37.4,64.8,0.0,49.8,47.3,1.7,8.0,0.0,1
51,308,1,48.2,52.3,0.0,49.9,48.5,3.5,11.1,0.0,0
52,307,7,48.2,54.3,0.13,49.3,47.7,3.2,8.9,0.0,1
53,306,6,46.4,67.5,0.0,56.5,46.3,5.6,12.0,0.0,0
54,305,5,42.8,66.2,0.0,55.6,40.8,5.147648902821317,14.0,0.0,0
55,304,4,42.6,64.4,0.0,52.0,39.9,5.147648902821317,11.7,0.0,0
56,303,3,50.4,70.0,0.0,62.7,45.3,5.147648902821317,22.0,0.0,0
57,302,2,41.9,63.1,0.37,51.2,48.1,3.1,18.1,0.0,0
58,301,1,39.2,46.2,0.41,40.5,38.9,4.1,12.0,0.0,0
59,300,7,38.7,54.3,0.0,46.9,43.0,4.9,13.0,0.0,0
60,299,6,40.6,53.6,0.45,47.9,39.9,7.1,14.0,0.0,0
61,298,5,33.8,52.7,0.01,43.4,40.6,5.5,22.0,0.0,0
62,297,4,32.0,49.5,0.63,43.5,32.4,7.5,24.1,0.0,0
63,296,3,39.2,47.8,0.28,43.6,39.5,5.1,22.0,0.0,0
64,295,2,26.6,53.6,0.0,41.8,36.2,3.6,12.0,0.0,1
